,ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0006941,BP,GO:0006941,striated muscle contraction,7/269,191/18888,0.036649215,2.573347087,2.626846614,0.019845196,0.037957477,0.015917199,PIK3CA/MTOR/TNF/CAV1/MIR200C/HSP90AA1/UCN,7
GO:0072523,BP,GO:0072523,purine-containing compound catabolic process,6/269,149/18888,0.040268456,2.827474364,2.691848888,0.020026071,0.03828736,0.016055533,HIF1A/STAT3/MTOR/GIT1/IGF1/FBP1,6
GO:0032481,BP,GO:0032481,positive regulation of type I interferon production,4/269,73/18888,0.054794521,3.84743087,2.929826899,0.020344706,0.038880234,0.016304151,TLR4/HSP90AA1/STAT1/MYD88,4
GO:0033260,BP,GO:0033260,nuclear DNA replication,3/269,41/18888,0.073170732,5.137727809,3.187955022,0.020448175,0.039028858,0.016366475,BRCA2/PCNA/FGFR1,3
GO:0045454,BP,GO:0045454,cell redox homeostasis,3/269,41/18888,0.073170732,5.137727809,3.187955022,0.020448175,0.039028858,0.016366475,GPX1/GIT1/TXN,3
GO:0106056,BP,GO:0106056,regulation of calcineurin-mediated signaling,3/269,41/18888,0.073170732,5.137727809,3.187955022,0.020448175,0.039028858,0.016366475,MTOR/TNF/IGF1,3
GO:0006909,BP,GO:0006909,phagocytosis,8/269,237/18888,0.033755274,2.370147287,2.551348714,0.020602222,0.039306416,0.016482867,THBS1/PIK3CA/TLR4/PRKCD/PTK2/SPHK1/MST1R/MYD88,8
GO:0071326,BP,GO:0071326,cellular response to monosaccharide stimulus,6/269,150/18888,0.04,2.808624535,2.673079557,0.020620507,0.039324835,0.016490591,GPX1/PIK3CA/IGF1R/HIF1A/SMARCA4/SMAD3,6
GO:0006206,BP,GO:0006206,pyrimidine nucleobase metabolic process,2/269,16/18888,0.125,8.776951673,3.740588047,0.021260752,0.040283849,0.016892747,MTOR/MAPK1,2
GO:0021984,BP,GO:0021984,adenohypophysis development,2/269,16/18888,0.125,8.776951673,3.740588047,0.021260752,0.040283849,0.016892747,FGF2/SOX2,2
GO:0032354,BP,GO:0032354,response to follicle-stimulating hormone,2/269,16/18888,0.125,8.776951673,3.740588047,0.021260752,0.040283849,0.016892747,SRD5A2/NOTCH1,2
GO:0042448,BP,GO:0042448,progesterone metabolic process,2/269,16/18888,0.125,8.776951673,3.740588047,0.021260752,0.040283849,0.016892747,AKR1C3/CYP17A1,2
GO:0045579,BP,GO:0045579,positive regulation of B cell differentiation,2/269,16/18888,0.125,8.776951673,3.740588047,0.021260752,0.040283849,0.016892747,MMP14/IL10,2
GO:0046642,BP,GO:0046642,negative regulation of alpha-beta T cell proliferation,2/269,16/18888,0.125,8.776951673,3.740588047,0.021260752,0.040283849,0.016892747,TWSG1/CD274,2
GO:0048385,BP,GO:0048385,regulation of retinoic acid receptor signaling pathway,2/269,16/18888,0.125,8.776951673,3.740588047,0.021260752,0.040283849,0.016892747,EZH2/AKR1C3,2
GO:0050665,BP,GO:0050665,hydrogen peroxide biosynthetic process,2/269,16/18888,0.125,8.776951673,3.740588047,0.021260752,0.040283849,0.016892747,SOD2/CYP1A1,2
GO:0051044,BP,GO:0051044,positive regulation of membrane protein ectodomain proteolysis,2/269,16/18888,0.125,8.776951673,3.740588047,0.021260752,0.040283849,0.016892747,IL1B/TNF,2
GO:0060841,BP,GO:0060841,venous blood vessel development,2/269,16/18888,0.125,8.776951673,3.740588047,0.021260752,0.040283849,0.016892747,VEGFA/NOTCH1,2
GO:0061101,BP,GO:0061101,neuroendocrine cell differentiation,2/269,16/18888,0.125,8.776951673,3.740588047,0.021260752,0.040283849,0.016892747,FGF2/NOTCH1,2
GO:0097091,BP,GO:0097091,synaptic vesicle clustering,2/269,16/18888,0.125,8.776951673,3.740588047,0.021260752,0.040283849,0.016892747,PTEN/CTNNB1,2
GO:0097152,BP,GO:0097152,mesenchymal cell apoptotic process,2/269,16/18888,0.125,8.776951673,3.740588047,0.021260752,0.040283849,0.016892747,HIF1A/HNF1B,2
GO:0003281,BP,GO:0003281,ventricular septum development,4/269,74/18888,0.054054054,3.795438561,2.896040933,0.021273692,0.040283849,0.016892747,SOX11/NOTCH1/TGFBR1/GATA3,4
GO:0046637,BP,GO:0046637,regulation of alpha-beta T cell differentiation,4/269,74/18888,0.054054054,3.795438561,2.896040933,0.021273692,0.040283849,0.016892747,RHOA/BRD2/BRD4/GATA3,4
GO:0048663,BP,GO:0048663,neuron fate commitment,4/269,74/18888,0.054054054,3.795438561,2.896040933,0.021273692,0.040283849,0.016892747,CTNNB1/NOTCH1/TGFBR1/FOXA1,4
GO:1904377,BP,GO:1904377,positive regulation of protein localization to cell periphery,4/269,74/18888,0.054054054,3.795438561,2.896040933,0.021273692,0.040283849,0.016892747,SQSTM1/TNF/AKT1/EGFR,4
GO:0007218,BP,GO:0007218,neuropeptide signaling pathway,5/269,111/18888,0.045045045,3.162865468,2.7469917,0.021345802,0.040386825,0.016935929,TENM1/RELA/TAC1/GRPR/UCN,5
GO:0007229,BP,GO:0007229,integrin-mediated signaling pathway,5/269,111/18888,0.045045045,3.162865468,2.7469917,0.021345802,0.040386825,0.016935929,TIMP1/PTK2/ILK/CUL3/FN1,5
GO:0050777,BP,GO:0050777,negative regulation of immune response,7/269,194/18888,0.036082474,2.53355306,2.580643461,0.021402065,0.040476467,0.01697352,GPX1/PPARG/PARP1/MAPK14/TGFB1/IL10/A2M,7
GO:0030866,BP,GO:0030866,cortical actin cytoskeleton organization,3/269,42/18888,0.071428571,5.015400956,3.131290959,0.0217947,0.041116627,0.017241966,TNF/EPB41L3/ROCK1,3
GO:0032735,BP,GO:0032735,positive regulation of interleukin-12 production,3/269,42/18888,0.071428571,5.015400956,3.131290959,0.0217947,0.041116627,0.017241966,MAPK14/TLR4/RELA,3
GO:0050691,BP,GO:0050691,regulation of defense response to virus by host,3/269,42/18888,0.071428571,5.015400956,3.131290959,0.0217947,0.041116627,0.017241966,IL1B/HSP90AA1/STAT1,3
GO:0051154,BP,GO:0051154,negative regulation of striated muscle cell differentiation,3/269,42/18888,0.071428571,5.015400956,3.131290959,0.0217947,0.041116627,0.017241966,YBX1/NOTCH1/EZH2,3
GO:0072595,BP,GO:0072595,maintenance of protein localization in organelle,3/269,42/18888,0.071428571,5.015400956,3.131290959,0.0217947,0.041116627,0.017241966,AKT1/TXN/HSPA5,3
GO:2000008,BP,GO:2000008,regulation of protein localization to cell surface,3/269,42/18888,0.071428571,5.015400956,3.131290959,0.0217947,0.041116627,0.017241966,CTNNB1/TNF/AKT1,3
GO:0031023,BP,GO:0031023,microtubule organizing center organization,6/269,152/18888,0.039473684,2.771668949,2.635999861,0.021845075,0.041194604,0.017274665,BRCA1/CTNNB1/AURKA/BRCA2/XRCC3/CDK2,6
GO:1902106,BP,GO:1902106,negative regulation of leukocyte differentiation,5/269,112/18888,0.044642857,3.134625597,2.723382486,0.02209235,0.041643668,0.017462977,CTNNB1/ERBB2/FBXW7/MYC/TLR4,5
GO:0005977,BP,GO:0005977,glycogen metabolic process,4/269,75/18888,0.053333333,3.744832714,2.862839095,0.022228293,0.041847977,0.017548652,AKT1/IRS1/IGF1/IGF2,4
GO:0006635,BP,GO:0006635,fatty acid beta-oxidation,4/269,75/18888,0.053333333,3.744832714,2.862839095,0.022228293,0.041847977,0.017548652,AMACR/AKT1/IRS1/TWIST1,4
GO:0051298,BP,GO:0051298,centrosome duplication,4/269,75/18888,0.053333333,3.744832714,2.862839095,0.022228293,0.041847977,0.017548652,BRCA1/BRCA2/XRCC3/CDK2,4
GO:0035249,BP,GO:0035249,"synaptic transmission, glutamatergic",5/269,113/18888,0.044247788,3.106885548,2.700036575,0.022855662,0.042993557,0.018029044,PTGS2/HDAC6/TNF/EGFR/UCN,5
GO:0060840,BP,GO:0060840,artery development,5/269,113/18888,0.044247788,3.106885548,2.700036575,0.022855662,0.042993557,0.018029044,VEGFA/NOTCH1/TGFBR1/MIR145/NKX3-1,5
GO:0030010,BP,GO:0030010,establishment of cell polarity,6/269,154/18888,0.038961039,2.735673249,2.59951619,0.023117863,0.043468834,0.018228348,IGF1R/RHOA/PTK2/FSCN1/GATA3/ROCK1,6
GO:0032691,BP,GO:0032691,negative regulation of interleukin-1 beta production,3/269,43/18888,0.069767442,4.898763724,3.076398052,0.023188597,0.043512045,0.018246468,GSTP1/GIT1/IGF1,3
GO:0045622,BP,GO:0045622,regulation of T-helper cell differentiation,3/269,43/18888,0.069767442,4.898763724,3.076398052,0.023188597,0.043512045,0.018246468,BRD2/BRD4/GATA3,3
GO:0048821,BP,GO:0048821,erythrocyte development,3/269,43/18888,0.069767442,4.898763724,3.076398052,0.023188597,0.043512045,0.018246468,BAP1/HDAC6/MED1,3
GO:0060412,BP,GO:0060412,ventricular septum morphogenesis,3/269,43/18888,0.069767442,4.898763724,3.076398052,0.023188597,0.043512045,0.018246468,SOX11/NOTCH1/TGFBR1,3
GO:1900026,BP,GO:1900026,positive regulation of substrate adhesion-dependent cell spreading,3/269,43/18888,0.069767442,4.898763724,3.076398052,0.023188597,0.043512045,0.018246468,ILK/OLFM4/BRAF,3
GO:0030968,BP,GO:0030968,endoplasmic reticulum unfolded protein response,4/269,76/18888,0.052631579,3.695558599,2.830202712,0.023208663,0.043513855,0.018247227,CCND1/BAX/DAB2IP/HSPA5,4
GO:0051057,BP,GO:0051057,positive regulation of small GTPase mediated signal transduction,4/269,76/18888,0.052631579,3.695558599,2.830202712,0.023208663,0.043513855,0.018247227,ERBB2/NOTCH1/KRAS/IGF1,4
GO:0090101,BP,GO:0090101,negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway,7/269,198/18888,0.035353535,2.48237017,2.520368631,0.023607239,0.044242938,0.018552962,TP53/PPARG/NOTCH1/TWSG1/HSPA5/PEG10/MIR145,7
GO:0043473,BP,GO:0043473,pigmentation,5/269,114/18888,0.043859649,3.079632166,2.676948395,0.023635858,0.044247927,0.018555055,EDNRB/SOD2/BAX/MC1R/SNAI2,5
GO:0048640,BP,GO:0048640,negative regulation of developmental growth,5/269,114/18888,0.043859649,3.079632166,2.676948395,0.023635858,0.044247927,0.018555055,PTEN/MIR25/CDH1/HDAC6/CDKN1A,5
GO:0003159,BP,GO:0003159,morphogenesis of an endothelium,2/269,17/18888,0.117647059,8.260660398,3.599834888,0.023872126,0.044247927,0.018555055,CTNNB1/RHOA,2
GO:0031573,BP,GO:0031573,mitotic intra-S DNA damage checkpoint signaling,2/269,17/18888,0.117647059,8.260660398,3.599834888,0.023872126,0.044247927,0.018555055,CHEK2/MSH2,2
GO:0032310,BP,GO:0032310,prostaglandin secretion,2/269,17/18888,0.117647059,8.260660398,3.599834888,0.023872126,0.044247927,0.018555055,PTGS2/IL1B,2
GO:0034392,BP,GO:0034392,negative regulation of smooth muscle cell apoptotic process,2/269,17/18888,0.117647059,8.260660398,3.599834888,0.023872126,0.044247927,0.018555055,IGF1/ESR1,2
GO:0036166,BP,GO:0036166,phenotypic switching,2/269,17/18888,0.117647059,8.260660398,3.599834888,0.023872126,0.044247927,0.018555055,SOD2/MIR145,2
GO:0043129,BP,GO:0043129,surfactant homeostasis,2/269,17/18888,0.117647059,8.260660398,3.599834888,0.023872126,0.044247927,0.018555055,VEGFA/KDR,2
GO:0045019,BP,GO:0045019,negative regulation of nitric oxide biosynthetic process,2/269,17/18888,0.117647059,8.260660398,3.599834888,0.023872126,0.044247927,0.018555055,CAV1/IL10,2
GO:0048532,BP,GO:0048532,anatomical structure arrangement,2/269,17/18888,0.117647059,8.260660398,3.599834888,0.023872126,0.044247927,0.018555055,HSPA5/TFAP2A,2
GO:0048557,BP,GO:0048557,embryonic digestive tract morphogenesis,2/269,17/18888,0.117647059,8.260660398,3.599834888,0.023872126,0.044247927,0.018555055,SOX11/HNF1B,2
GO:0050872,BP,GO:0050872,white fat cell differentiation,2/269,17/18888,0.117647059,8.260660398,3.599834888,0.023872126,0.044247927,0.018555055,PPARG/SNAI2,2
GO:0051000,BP,GO:0051000,positive regulation of nitric-oxide synthase activity,2/269,17/18888,0.117647059,8.260660398,3.599834888,0.023872126,0.044247927,0.018555055,HIF1A/AKT1,2
GO:0051782,BP,GO:0051782,negative regulation of cell division,2/269,17/18888,0.117647059,8.260660398,3.599834888,0.023872126,0.044247927,0.018555055,MYC/MIR145,2
GO:0061154,BP,GO:0061154,endothelial tube morphogenesis,2/269,17/18888,0.117647059,8.260660398,3.599834888,0.023872126,0.044247927,0.018555055,CTNNB1/RHOA,2
GO:0072077,BP,GO:0072077,renal vesicle morphogenesis,2/269,17/18888,0.117647059,8.260660398,3.599834888,0.023872126,0.044247927,0.018555055,CTNNB1/STAT1,2
GO:0072109,BP,GO:0072109,glomerular mesangium development,2/269,17/18888,0.117647059,8.260660398,3.599834888,0.023872126,0.044247927,0.018555055,NOTCH1/WT1,2
GO:0072224,BP,GO:0072224,metanephric glomerulus development,2/269,17/18888,0.117647059,8.260660398,3.599834888,0.023872126,0.044247927,0.018555055,WT1/LGR4,2
GO:0110096,BP,GO:0110096,cellular response to aldehyde,2/269,17/18888,0.117647059,8.260660398,3.599834888,0.023872126,0.044247927,0.018555055,IGF1R/AIFM1,2
GO:1900120,BP,GO:1900120,regulation of receptor binding,2/269,17/18888,0.117647059,8.260660398,3.599834888,0.023872126,0.044247927,0.018555055,MMP9/IL10,2
GO:1901163,BP,GO:1901163,regulation of trophoblast cell migration,2/269,17/18888,0.117647059,8.260660398,3.599834888,0.023872126,0.044247927,0.018555055,TIMP1/VEGFA,2
GO:1902033,BP,GO:1902033,regulation of hematopoietic stem cell proliferation,2/269,17/18888,0.117647059,8.260660398,3.599834888,0.023872126,0.044247927,0.018555055,SNAI2/PIM1,2
GO:1902170,BP,GO:1902170,cellular response to reactive nitrogen species,2/269,17/18888,0.117647059,8.260660398,3.599834888,0.023872126,0.044247927,0.018555055,CDK2/AIFM1,2
GO:1902969,BP,GO:1902969,mitotic DNA replication,2/269,17/18888,0.117647059,8.260660398,3.599834888,0.023872126,0.044247927,0.018555055,BRCA2/FGFR1,2
GO:1903729,BP,GO:1903729,regulation of plasma membrane organization,2/269,17/18888,0.117647059,8.260660398,3.599834888,0.023872126,0.044247927,0.018555055,FASLG/PRKCD,2
GO:1904355,BP,GO:1904355,positive regulation of telomere capping,2/269,17/18888,0.117647059,8.260660398,3.599834888,0.023872126,0.044247927,0.018555055,MAPK1/MAP2K7,2
GO:1904406,BP,GO:1904406,negative regulation of nitric oxide metabolic process,2/269,17/18888,0.117647059,8.260660398,3.599834888,0.023872126,0.044247927,0.018555055,CAV1/IL10,2
GO:0009205,BP,GO:0009205,purine ribonucleoside triphosphate metabolic process,8/269,244/18888,0.032786885,2.302151258,2.460742982,0.024006438,0.044478784,0.018651863,PARP1/HIF1A/STAT3/MTOR/TGFB1/GIT1/IGF1/FBP1,8
GO:0032729,BP,GO:0032729,positive regulation of type II interferon production,4/269,77/18888,0.051948052,3.647564332,2.79811395,0.024214943,0.044792238,0.018783308,IL1B/TLR4/TNF/HRAS,4
GO:0032890,BP,GO:0032890,regulation of organic acid transport,4/269,77/18888,0.051948052,3.647564332,2.79811395,0.024214943,0.044792238,0.018783308,THBS1/IL1B/TNF/AKT1,4
GO:0044042,BP,GO:0044042,glucan metabolic process,4/269,77/18888,0.051948052,3.647564332,2.79811395,0.024214943,0.044792238,0.018783308,AKT1/IRS1/IGF1/IGF2,4
GO:0055117,BP,GO:0055117,regulation of cardiac muscle contraction,4/269,77/18888,0.051948052,3.647564332,2.79811395,0.024214943,0.044792238,0.018783308,CAV1/MIR200C/HSP90AA1/UCN,4
GO:0050770,BP,GO:0050770,regulation of axonogenesis,6/269,156/18888,0.038461538,2.700600515,2.563610165,0.024439599,0.045189454,0.018949877,PTEN/VEGFA/CDH1/HDAC6/FN1/BRAF,6
GO:0006284,BP,GO:0006284,base-excision repair,3/269,44/18888,0.068181818,4.787428185,3.023177533,0.024629853,0.045375499,0.019027894,XRCC1/PARP1/PCNA,3
GO:0021762,BP,GO:0021762,substantia nigra development,3/269,44/18888,0.068181818,4.787428185,3.023177533,0.024629853,0.045375499,0.019027894,FGF2/RHOA/HSPA5,3
GO:0030501,BP,GO:0030501,positive regulation of bone mineralization,3/269,44/18888,0.068181818,4.787428185,3.023177533,0.024629853,0.045375499,0.019027894,VDR/SMAD3/TFAP2A,3
GO:0030890,BP,GO:0030890,positive regulation of B cell proliferation,3/269,44/18888,0.068181818,4.787428185,3.023177533,0.024629853,0.045375499,0.019027894,TLR4/BMI1/CDKN1A,3
GO:0031018,BP,GO:0031018,endocrine pancreas development,3/269,44/18888,0.068181818,4.787428185,3.023177533,0.024629853,0.045375499,0.019027894,IL6/AKT1/CLOCK,3
GO:0045022,BP,GO:0045022,early endosome to late endosome transport,3/269,44/18888,0.068181818,4.787428185,3.023177533,0.024629853,0.045375499,0.019027894,RILP/MAPK1/LMTK2,3
GO:0051602,BP,GO:0051602,response to electrical stimulus,3/269,44/18888,0.068181818,4.787428185,3.023177533,0.024629853,0.045375499,0.019027894,PTEN/SOD2/MMP2,3
GO:0071526,BP,GO:0071526,semaphorin-plexin signaling pathway,3/269,44/18888,0.068181818,4.787428185,3.023177533,0.024629853,0.045375499,0.019027894,ERBB2/RHOA/KDR,3
GO:1901976,BP,GO:1901976,regulation of cell cycle checkpoint,3/269,44/18888,0.068181818,4.787428185,3.023177533,0.024629853,0.045375499,0.019027894,BRCA1/BRCA2/XRCC3,3
GO:0030073,BP,GO:0030073,insulin secretion,7/269,200/18888,0.035,2.457546468,2.490780453,0.024766517,0.045608833,0.019125741,IL6/IL1B/HIF1A/TNF/HNF1B/IRS1/CLOCK,7
GO:0022604,BP,GO:0022604,regulation of cell morphogenesis,8/269,246/18888,0.032520325,2.283434582,2.435423503,0.025047536,0.046107706,0.01933494,CD44/VEGFA/HDAC6/PTK2/EPB41L3/FN1/DLC1/KDR,8
GO:0042509,BP,GO:0042509,regulation of tyrosine phosphorylation of STAT protein,4/269,78/18888,0.051282051,3.600800686,2.766555766,0.025247269,0.046437851,0.019473384,IL6/TNF/CAV1/IGF1,4
GO:0050853,BP,GO:0050853,B cell receptor signaling pathway,4/269,78/18888,0.051282051,3.600800686,2.766555766,0.025247269,0.046437851,0.019473384,NFKB1/MAPK1/BAX/NFKBIA,4
GO:0098754,BP,GO:0098754,detoxification,6/269,158/18888,0.037974684,2.666415698,2.528264212,0.02581098,0.047455539,0.019900144,GPX1/PTGS2/SOD2/GSTP1/TXN/PIM1,6
GO:0033173,BP,GO:0033173,calcineurin-NFAT signaling cascade,3/269,45/18888,0.066666667,4.681040892,2.971538278,0.026118427,0.047924105,0.020096634,MTOR/TNF/IGF1,3
GO:0042149,BP,GO:0042149,cellular response to glucose starvation,3/269,45/18888,0.066666667,4.681040892,2.971538278,0.026118427,0.047924105,0.020096634,TP53/HSPA5/PMAIP1,3
GO:0044786,BP,GO:0044786,cell cycle DNA replication,3/269,45/18888,0.066666667,4.681040892,2.971538278,0.026118427,0.047924105,0.020096634,BRCA2/PCNA/FGFR1,3
GO:0046466,BP,GO:0046466,membrane lipid catabolic process,3/269,45/18888,0.066666667,4.681040892,2.971538278,0.026118427,0.047924105,0.020096634,PRKCD/SGPL1/SPHK1,3
GO:1903426,BP,GO:1903426,regulation of reactive oxygen species biosynthetic process,3/269,45/18888,0.066666667,4.681040892,2.971538278,0.026118427,0.047924105,0.020096634,SOD2/TLR4/RHOA,3
GO:0002830,BP,GO:0002830,positive regulation of type 2 immune response,2/269,18/18888,0.111111111,7.80173482,3.470159627,0.026607453,0.048315487,0.020260757,IL6/GATA3,2
GO:0006089,BP,GO:0006089,lactate metabolic process,2/269,18/18888,0.111111111,7.80173482,3.470159627,0.026607453,0.048315487,0.020260757,TP53/HIF1A,2
GO:0010042,BP,GO:0010042,response to manganese ion,2/269,18/18888,0.111111111,7.80173482,3.470159627,0.026607453,0.048315487,0.020260757,PTGS2/SOD2,2
GO:0010310,BP,GO:0010310,regulation of hydrogen peroxide metabolic process,2/269,18/18888,0.111111111,7.80173482,3.470159627,0.026607453,0.048315487,0.020260757,SOD2/HDAC6,2
GO:0010522,BP,GO:0010522,regulation of calcium ion transport into cytosol,2/269,18/18888,0.111111111,7.80173482,3.470159627,0.026607453,0.048315487,0.020260757,CAV1/BAX,2
GO:0016264,BP,GO:0016264,gap junction assembly,2/269,18/18888,0.111111111,7.80173482,3.470159627,0.026607453,0.048315487,0.020260757,IL1B/CAV1,2
GO:0019896,BP,GO:0019896,axonal transport of mitochondrion,2/269,18/18888,0.111111111,7.80173482,3.470159627,0.026607453,0.048315487,0.020260757,HIF1A/HDAC6,2
GO:0030949,BP,GO:0030949,positive regulation of vascular endothelial growth factor receptor signaling pathway,2/269,18/18888,0.111111111,7.80173482,3.470159627,0.026607453,0.048315487,0.020260757,IL1B/HIF1A,2
GO:0035234,BP,GO:0035234,ectopic germ cell programmed cell death,2/269,18/18888,0.111111111,7.80173482,3.470159627,0.026607453,0.048315487,0.020260757,IL1B/BAX,2
GO:0044030,BP,GO:0044030,regulation of DNA methylation,2/269,18/18888,0.111111111,7.80173482,3.470159627,0.026607453,0.048315487,0.020260757,PARP1/WT1,2
GO:0044539,BP,GO:0044539,long-chain fatty acid import into cell,2/269,18/18888,0.111111111,7.80173482,3.470159627,0.026607453,0.048315487,0.020260757,THBS1/AKT1,2
GO:0045064,BP,GO:0045064,T-helper 2 cell differentiation,2/269,18/18888,0.111111111,7.80173482,3.470159627,0.026607453,0.048315487,0.020260757,MYB/GATA3,2
GO:0045346,BP,GO:0045346,regulation of MHC class II biosynthetic process,2/269,18/18888,0.111111111,7.80173482,3.470159627,0.026607453,0.048315487,0.020260757,TLR4/IL10,2
GO:0045945,BP,GO:0045945,positive regulation of transcription by RNA polymerase III,2/269,18/18888,0.111111111,7.80173482,3.470159627,0.026607453,0.048315487,0.020260757,AR/MTOR,2
GO:0046579,BP,GO:0046579,positive regulation of Ras protein signal transduction,2/269,18/18888,0.111111111,7.80173482,3.470159627,0.026607453,0.048315487,0.020260757,NOTCH1/IGF1,2
GO:0061450,BP,GO:0061450,trophoblast cell migration,2/269,18/18888,0.111111111,7.80173482,3.470159627,0.026607453,0.048315487,0.020260757,TIMP1/VEGFA,2
GO:0071371,BP,GO:0071371,cellular response to gonadotropin stimulus,2/269,18/18888,0.111111111,7.80173482,3.470159627,0.026607453,0.048315487,0.020260757,NOTCH1/WT1,2
GO:0072087,BP,GO:0072087,renal vesicle development,2/269,18/18888,0.111111111,7.80173482,3.470159627,0.026607453,0.048315487,0.020260757,CTNNB1/STAT1,2
GO:0072189,BP,GO:0072189,ureter development,2/269,18/18888,0.111111111,7.80173482,3.470159627,0.026607453,0.048315487,0.020260757,LZTS2/GATA3,2
GO:0090036,BP,GO:0090036,regulation of protein kinase C signaling,2/269,18/18888,0.111111111,7.80173482,3.470159627,0.026607453,0.048315487,0.020260757,VEGFA/MC1R,2
GO:0090190,BP,GO:0090190,positive regulation of branching involved in ureteric bud morphogenesis,2/269,18/18888,0.111111111,7.80173482,3.470159627,0.026607453,0.048315487,0.020260757,VEGFA/LGR4,2
GO:0090520,BP,GO:0090520,sphingolipid mediated signaling pathway,2/269,18/18888,0.111111111,7.80173482,3.470159627,0.026607453,0.048315487,0.020260757,AKT1/SPHK1,2
GO:0097094,BP,GO:0097094,craniofacial suture morphogenesis,2/269,18/18888,0.111111111,7.80173482,3.470159627,0.026607453,0.048315487,0.020260757,MMP14/TWIST1,2
GO:1901970,BP,GO:1901970,positive regulation of mitotic sister chromatid separation,2/269,18/18888,0.111111111,7.80173482,3.470159627,0.026607453,0.048315487,0.020260757,CUL3/RB1,2
GO:1905209,BP,GO:1905209,positive regulation of cardiocyte differentiation,2/269,18/18888,0.111111111,7.80173482,3.470159627,0.026607453,0.048315487,0.020260757,TGFB1/MIR145,2
GO:2000318,BP,GO:2000318,positive regulation of T-helper 17 type immune response,2/269,18/18888,0.111111111,7.80173482,3.470159627,0.026607453,0.048315487,0.020260757,BRD2/BRD4,2
GO:0050830,BP,GO:0050830,defense response to Gram-positive bacterium,5/269,118/18888,0.042372881,2.975237855,2.587067271,0.026927755,0.048877631,0.020496488,IL6/IL1B/DEFB1/TNF/MYD88,5
GO:0009144,BP,GO:0009144,purine nucleoside triphosphate metabolic process,8/269,250/18888,0.032,2.246899628,2.385510323,0.027223769,0.049395257,0.020713551,PARP1/HIF1A/STAT3/MTOR/TGFB1/GIT1/IGF1/FBP1,8
GO:0042491,BP,GO:0042491,inner ear auditory receptor cell differentiation,3/269,46/18888,0.065217391,4.579279134,2.921396058,0.027654246,0.050136389,0.021024339,FGF2/NOTCH1/FGFR1,3
GO:0051205,BP,GO:0051205,protein insertion into membrane,3/269,46/18888,0.065217391,4.579279134,2.921396058,0.027654246,0.050136389,0.021024339,EGFR/BAX/MAL,3
GO:0009199,BP,GO:0009199,ribonucleoside triphosphate metabolic process,8/269,251/18888,0.03187251,2.237947837,2.37317988,0.027787715,0.050358326,0.021117407,PARP1/HIF1A/STAT3/MTOR/TGFB1/GIT1/IGF1/FBP1,8
GO:0019233,BP,GO:0019233,sensory perception of pain,4/269,81/18888,0.049382716,3.467437698,2.674905212,0.028501694,0.051570181,0.02162559,TNF/TAC1/MC1R/MME,4
GO:0032088,BP,GO:0032088,negative regulation of NF-kappaB transcription factor activity,4/269,81/18888,0.049382716,3.467437698,2.674905212,0.028501694,0.051570181,0.02162559,IL10/DAB2IP/NFKBIA/CDKN2A,4
GO:0043242,BP,GO:0043242,negative regulation of protein-containing complex disassembly,4/269,81/18888,0.049382716,3.467437698,2.674905212,0.028501694,0.051570181,0.02162559,PIK3CA/HDAC6/TNF/KATNB1,4
GO:0048844,BP,GO:0048844,artery morphogenesis,4/269,81/18888,0.049382716,3.467437698,2.674905212,0.028501694,0.051570181,0.02162559,VEGFA/NOTCH1/TGFBR1/MIR145,4
GO:0006417,BP,GO:0006417,regulation of translation,12/269,451/18888,0.026607539,1.868264658,2.243234734,0.028716636,0.051938466,0.021780028,THBS1/CNBP/ERBB2/YBX1/IL6/MTOR/TNF/AKT1/MIR200C/MIR145/UCN/PER1,12
GO:0003044,BP,GO:0003044,regulation of systemic arterial blood pressure mediated by a chemical signal,3/269,47/18888,0.063829787,4.481847663,2.87267288,0.029237208,0.052796163,0.022139697,EDNRB/SOD2/RHOA,3
GO:0006984,BP,GO:0006984,ER-nucleus signaling pathway,3/269,47/18888,0.063829787,4.481847663,2.87267288,0.029237208,0.052796163,0.022139697,TP53/FBXW7/HSPA5,3
GO:0032467,BP,GO:0032467,positive regulation of cytokinesis,3/269,47/18888,0.063829787,4.481847663,2.87267288,0.029237208,0.052796163,0.022139697,IGF1R/RHOA/CUL3,3
GO:0043666,BP,GO:0043666,regulation of phosphoprotein phosphatase activity,3/269,47/18888,0.063829787,4.481847663,2.87267288,0.029237208,0.052796163,0.022139697,MTOR/TNF/ROCK1,3
GO:0000212,BP,GO:0000212,meiotic spindle organization,2/269,19/18888,0.105263158,7.391117198,3.35010635,0.029462702,0.052909764,0.022187335,PTEN/AURKA,2
GO:0010744,BP,GO:0010744,positive regulation of macrophage derived foam cell differentiation,2/269,19/18888,0.105263158,7.391117198,3.35010635,0.029462702,0.052909764,0.022187335,NFKB1/ALOX15B,2
GO:0032026,BP,GO:0032026,response to magnesium ion,2/269,19/18888,0.105263158,7.391117198,3.35010635,0.029462702,0.052909764,0.022187335,THBS1/FBP1,2
GO:0045342,BP,GO:0045342,MHC class II biosynthetic process,2/269,19/18888,0.105263158,7.391117198,3.35010635,0.029462702,0.052909764,0.022187335,TLR4/IL10,2
